down_at,press_duration_ms,preceding_age_ms,next_sample_ms,previous_raw,next_raw,offline_interpolated_click_raw,max_raw_during_press,path_to_next_sample_counts,net_to_next_sample_counts,bounded_slope_next_raw,first_floor_ms
2403025.3140097,886.359500233084,3.3530001528561115,14.651100151240826,369,466,387.06483019609885,633,6.0,6.0,416.11490346455673,14.651100151240826
2403026.4982558,850.235799793154,17.22649997100234,0.7640998810529709,317,381,378.2817808861552,634,0.0,0.0,379.0,16.778400167822838
2403027.6205319,708.0477001145482,5.257799755781889,12.745700310915709,358,427,378.1509807429071,634,0.0,0.0,399.0917547580527,12.745700310915709
2403028.6832572,658.5774002596736,13.34839966148138,2.652800176292658,327,378,369.54483348982745,637,1.0,1.0,379.0,18.663600087165833
2403029.6307117,467.66450023278594,9.932299610227346,6.112900096923113,352,379,368.7135401472522,635,4.82842712474619,4.47213595499958,387.0430585980504,24.160700384527445
2403030.4104993,459.84459994360805,3.242800012230873,14.769500121474266,372,440,384.24221222136276,626,2.8284271247461903,2.8284271247461903,410.091947980469,14.769500121474266
2403031.1826013,417.16889990493655,7.801100146025419,10.209799744188786,353,378,363.8283042401784,619,9.414213562373096,8.246211251235321,388.08600465565206,26.199199724942446
2403031.8761277,352.2667000070214,15.261999797075987,0.744400080293417,339,384,381.90721187338545,621,0.0,0.0,379.0,16.732700169086456
2403032.492379,710.5016000568867,13.27840005978942,2.2535002790391445,353,381,376.93752171745814,627,2.0,1.4142135623730951,379.0,19.82819987460971
2403033.4455072,1646.4852998033166,15.917100012302399,1.603399869054556,330,378,373.6072489805777,629,0.0,0.0,379.0,16.646699979901314
2403035.3864372,519.9997001327574,3.213800024241209,14.782099984586239,371,430,381.5365222821432,622,0.0,0.0,427.1625397977979,14.782099984586239
2403036.1705832,444.53899981454015,1.3944003731012344,16.608799807727337,378,437,382.569722115326,628,0.0,0.0,426.1510679226602,16.608799807727337
2403037.257252,109.98130030930042,1.3067997060716152,16.68020011857152,374,494,382.71829467156317,629,5.0,5.0,425.72698217921936,16.68020011857152
2403037.5392376,115.31780008226633,17.172799911350012,0.8175000548362732,312,382,378.8191189726632,581,0.0,0.0,379.0,16.8655002489686
2403037.836106,93.5975001193583,11.345299892127514,4.675200209021568,317,381,362.3231290229249,615,2.0,2.0,379.0,21.7013000510633
2403038.1092509,95.54630005732179,1.2587998062372208,16.73950022086501,378,537,389.12044853626895,581,13.47213595499958,13.152946437965905,443.11941358196225,16.73950022086501
2403050.4849229,75.5129000172019,9.849200025200844,7.197699975222349,317,379,352.8217858699994,551,9.886349517372675,9.486832980505138,379.0,22.314200177788734
2403050.8125823,55.90729974210262,5.464700050652027,12.54640007391572,355,519,404.75880440998,526,31.35917360311745,31.064449134018133,397.0913620352476,12.54640007391572
2403051.0284273,76.20730018243194,3.6893999204039574,12.305200099945068,331,437,355.4505264942715,528,7.242640687119286,6.708203932499369,379.0,12.305200099945068
2403051.2812181,62.095200177282095,5.232799798250198,8.763600140810013,362,378,367.98188085054284,541,0.0,0.0,405.63945033137304,26.789600029587746
2403051.5007733,69.02649998664856,9.285800158977509,6.731600034981966,313,400,363.43668785498085,535,20.738768882709856,20.223748416156685,379.0,24.71210015937686
2403051.7474649,58.429399970918894,5.417999811470509,10.57399995625019,319,465,368.4639809882537,524,2.0,2.0,379.0,10.57399995625019
2403052.0023752,60.32440019771457,9.29669989272952,6.701600272208452,316,379,352.60964522503264,614,1.0,1.0,379.0,24.70229985192418
2403052.2960894,80.13160014525056,3.2442002557218075,16.31789980456233,370,516,394.2128010732864,607,11.23606797749979,5.656854249492381,427.0957966080452,16.31789980456233
2403052.6400898,88.72370002791286,11.41640031710267,4.59529971703887,316,382,363.0582398697287,625,3.0,2.23606797749979,379.0,22.59249985218048
2403052.9703931,102.59140003472567,9.507899638265371,8.50770017132163,339,522,435.57994472527366,619,9.0,6.708203932499369,379.0,8.50770017132163
