"No.","Time","Source","Destination","Protocol","Length","Info"
"217","0.224153","1.2.1","host","USB","40","URB_INTERRUPT in"
"218","0.224171","host","1.2.1","USB","27","URB_INTERRUPT in"
"219","0.225153","1.2.1","host","USB","40","URB_INTERRUPT in"
"220","0.225171","host","1.2.1","USB","27","URB_INTERRUPT in"
"221","0.226155","1.2.1","host","USB","40","URB_INTERRUPT in"
"222","0.226177","host","1.2.1","USB","27","URB_INTERRUPT in"
"223","0.227154","1.2.1","host","USB","40","URB_INTERRUPT in"
"224","0.227174","host","1.2.1","USB","27","URB_INTERRUPT in"
"225","0.228153","1.2.1","host","USB","40","URB_INTERRUPT in"
"226","0.228169","host","1.2.1","USB","27","URB_INTERRUPT in"
"227","0.229154","1.2.1","host","USB","40","URB_INTERRUPT in"
"228","0.229174","host","1.2.1","USB","27","URB_INTERRUPT in"
"229","0.230155","1.2.1","host","USB","40","URB_INTERRUPT in"
"230","0.230179","host","1.2.1","USB","27","URB_INTERRUPT in"
"231","0.231154","1.2.1","host","USB","40","URB_INTERRUPT in"
"232","0.231171","host","1.2.1","USB","27","URB_INTERRUPT in"
"233","0.232152","1.2.1","host","USB","40","URB_INTERRUPT in"
"234","0.232171","host","1.2.1","USB","27","URB_INTERRUPT in"
"235","0.233152","1.2.1","host","USB","40","URB_INTERRUPT in"
"236","0.233169","host","1.2.1","USB","27","URB_INTERRUPT in"
"237","0.234153","1.2.1","host","USB","40","URB_INTERRUPT in"
"238","0.234172","host","1.2.1","USB","27","URB_INTERRUPT in"
"239","0.235153","1.2.1","host","USB","40","URB_INTERRUPT in"
"240","0.235170","host","1.2.1","USB","27","URB_INTERRUPT in"
"241","0.236152","1.2.1","host","USB","40","URB_INTERRUPT in"
"242","0.236170","host","1.2.1","USB","27","URB_INTERRUPT in"
"243","0.237153","1.2.1","host","USB","40","URB_INTERRUPT in"
"244","0.237170","host","1.2.1","USB","27","URB_INTERRUPT in"
"245","0.238179","1.2.1","host","USB","40","URB_INTERRUPT in"
"246","0.238200","host","1.2.1","USB","27","URB_INTERRUPT in"
"247","0.239177","1.2.1","host","USB","40","URB_INTERRUPT in"
"248","0.239196","host","1.2.1","USB","27","URB_INTERRUPT in"
"249","0.240151","1.2.1","host","USB","40","URB_INTERRUPT in"
"250","0.240167","host","1.2.1","USB","27","URB_INTERRUPT in"
"251","0.241155","1.2.1","host","USB","40","URB_INTERRUPT in"
"252","0.241170","host","1.2.1","USB","27","URB_INTERRUPT in"
"253","0.242153","1.2.1","host","USB","40","URB_INTERRUPT in"
"254","0.242170","host","1.2.1","USB","27","URB_INTERRUPT in"
"255","0.243153","1.2.1","host","USB","40","URB_INTERRUPT in"
"256","0.243168","host","1.2.1","USB","27","URB_INTERRUPT in"
"257","0.244151","1.2.1","host","USB","40","URB_INTERRUPT in"
"258","0.244165","host","1.2.1","USB","27","URB_INTERRUPT in"
"259","0.245153","1.2.1","host","USB","40","URB_INTERRUPT in"
"260","0.245168","host","1.2.1","USB","27","URB_INTERRUPT in"
"261","0.246151","1.2.1","host","USB","40","URB_INTERRUPT in"
"262","0.246167","host","1.2.1","USB","27","URB_INTERRUPT in"
"263","0.247154","1.2.1","host","USB","40","URB_INTERRUPT in"
"264","0.247174","host","1.2.1","USB","27","URB_INTERRUPT in"
"265","0.248153","1.2.1","host","USB","40","URB_INTERRUPT in"
"266","0.248171","host","1.2.1","USB","27","URB_INTERRUPT in"
"267","0.249151","1.2.1","host","USB","40","URB_INTERRUPT in"
"268","0.249168","host","1.2.1","USB","27","URB_INTERRUPT in"
"269","0.250152","1.2.1","host","USB","40","URB_INTERRUPT in"
"270","0.250167","host","1.2.1","USB","27","URB_INTERRUPT in"
"271","0.251154","1.2.1","host","USB","40","URB_INTERRUPT in"
"272","0.251172","host","1.2.1","USB","27","URB_INTERRUPT in"
"273","0.252153","1.2.1","host","USB","40","URB_INTERRUPT in"
"274","0.252170","host","1.2.1","USB","27","URB_INTERRUPT in"
"275","0.253151","1.2.1","host","USB","40","URB_INTERRUPT in"
"276","0.253167","host","1.2.1","USB","27","URB_INTERRUPT in"
"277","0.254155","1.2.1","host","USB","40","URB_INTERRUPT in"
"278","0.254176","host","1.2.1","USB","27","URB_INTERRUPT in"
"279","0.255155","1.2.1","host","USB","40","URB_INTERRUPT in"
"280","0.255180","host","1.2.1","USB","27","URB_INTERRUPT in"
"281","0.256154","1.2.1","host","USB","40","URB_INTERRUPT in"
"282","0.256175","host","1.2.1","USB","27","URB_INTERRUPT in"
"283","0.257156","1.2.1","host","USB","40","URB_INTERRUPT in"
"284","0.257182","host","1.2.1","USB","27","URB_INTERRUPT in"
"285","0.258153","1.2.1","host","USB","40","URB_INTERRUPT in"
"286","0.258170","host","1.2.1","USB","27","URB_INTERRUPT in"
"287","0.259153","1.2.1","host","USB","40","URB_INTERRUPT in"
"288","0.259176","host","1.2.1","USB","27","URB_INTERRUPT in"
"289","0.260153","1.2.1","host","USB","40","URB_INTERRUPT in"
"290","0.260172","host","1.2.1","USB","27","URB_INTERRUPT in"
"291","0.261157","1.2.1","host","USB","40","URB_INTERRUPT in"
"292","0.261178","host","1.2.1","USB","27","URB_INTERRUPT in"
"293","0.262154","1.2.1","host","USB","40","URB_INTERRUPT in"
"294","0.262174","host","1.2.1","USB","27","URB_INTERRUPT in"
"295","0.263158","1.2.1","host","USB","40","URB_INTERRUPT in"
"296","0.263183","host","1.2.1","USB","27","URB_INTERRUPT in"
"297","0.264157","1.2.1","host","USB","40","URB_INTERRUPT in"
"298","0.264183","host","1.2.1","USB","27","URB_INTERRUPT in"
"299","0.265156","1.2.1","host","USB","40","URB_INTERRUPT in"
"300","0.265180","host","1.2.1","USB","27","URB_INTERRUPT in"
"301","0.266156","1.2.1","host","USB","40","URB_INTERRUPT in"
"302","0.266179","host","1.2.1","USB","27","URB_INTERRUPT in"
"303","0.267158","1.2.1","host","USB","40","URB_INTERRUPT in"
"304","0.267184","host","1.2.1","USB","27","URB_INTERRUPT in"
"305","0.268155","1.2.1","host","USB","40","URB_INTERRUPT in"
"306","0.268175","host","1.2.1","USB","27","URB_INTERRUPT in"
"307","0.269152","1.2.1","host","USB","40","URB_INTERRUPT in"
"308","0.269168","host","1.2.1","USB","27","URB_INTERRUPT in"
"309","0.270151","1.2.1","host","USB","40","URB_INTERRUPT in"
"310","0.270167","host","1.2.1","USB","27","URB_INTERRUPT in"
"311","0.271151","1.2.1","host","USB","40","URB_INTERRUPT in"
"312","0.271168","host","1.2.1","USB","27","URB_INTERRUPT in"
"313","0.272156","1.2.1","host","USB","40","URB_INTERRUPT in"
"314","0.272176","host","1.2.1","USB","27","URB_INTERRUPT in"
"315","0.273152","1.2.1","host","USB","40","URB_INTERRUPT in"
"316","0.273169","host","1.2.1","USB","27","URB_INTERRUPT in"
"317","0.274153","1.2.1","host","USB","40","URB_INTERRUPT in"
"318","0.274170","host","1.2.1","USB","27","URB_INTERRUPT in"
"319","0.275151","1.2.1","host","USB","40","URB_INTERRUPT in"
"320","0.275167","host","1.2.1","USB","27","URB_INTERRUPT in"
"321","0.276152","1.2.1","host","USB","40","URB_INTERRUPT in"
"322","0.276171","host","1.2.1","USB","27","URB_INTERRUPT in"
"323","0.277152","1.2.1","host","USB","40","URB_INTERRUPT in"
"324","0.277167","host","1.2.1","USB","27","URB_INTERRUPT in"
"325","0.278151","1.2.1","host","USB","40","URB_INTERRUPT in"
"326","0.278166","host","1.2.1","USB","27","URB_INTERRUPT in"
"327","0.279150","1.2.1","host","USB","40","URB_INTERRUPT in"
"328","0.279166","host","1.2.1","USB","27","URB_INTERRUPT in"
"329","0.280155","1.2.1","host","USB","40","URB_INTERRUPT in"
"330","0.280181","host","1.2.1","USB","27","URB_INTERRUPT in"
"332","0.281152","1.2.1","host","USB","40","URB_INTERRUPT in"
"333","0.281173","host","1.2.1","USB","27","URB_INTERRUPT in"
"334","0.282152","1.2.1","host","USB","40","URB_INTERRUPT in"
"335","0.282167","host","1.2.1","USB","27","URB_INTERRUPT in"
"337","0.283151","1.2.1","host","USB","40","URB_INTERRUPT in"
"338","0.283165","host","1.2.1","USB","27","URB_INTERRUPT in"
"339","0.284153","1.2.1","host","USB","40","URB_INTERRUPT in"
"340","0.284171","host","1.2.1","USB","27","URB_INTERRUPT in"
"341","0.285153","1.2.1","host","USB","40","URB_INTERRUPT in"
"342","0.285170","host","1.2.1","USB","27","URB_INTERRUPT in"
"343","0.286151","1.2.1","host","USB","40","URB_INTERRUPT in"
"344","0.286166","host","1.2.1","USB","27","URB_INTERRUPT in"
"345","0.287152","1.2.1","host","USB","40","URB_INTERRUPT in"
"346","0.287168","host","1.2.1","USB","27","URB_INTERRUPT in"
"347","0.288155","1.2.1","host","USB","40","URB_INTERRUPT in"
"348","0.288171","host","1.2.1","USB","27","URB_INTERRUPT in"
"349","0.289154","1.2.1","host","USB","40","URB_INTERRUPT in"
"350","0.289171","host","1.2.1","USB","27","URB_INTERRUPT in"
"351","0.290153","1.2.1","host","USB","40","URB_INTERRUPT in"
"352","0.290170","host","1.2.1","USB","27","URB_INTERRUPT in"
"353","0.291152","1.2.1","host","USB","40","URB_INTERRUPT in"
"354","0.291168","host","1.2.1","USB","27","URB_INTERRUPT in"
"355","0.292155","1.2.1","host","USB","40","URB_INTERRUPT in"
"356","0.292176","host","1.2.1","USB","27","URB_INTERRUPT in"
"357","0.293152","1.2.1","host","USB","40","URB_INTERRUPT in"
"358","0.293170","host","1.2.1","USB","27","URB_INTERRUPT in"
"359","0.294151","1.2.1","host","USB","40","URB_INTERRUPT in"
"360","0.294166","host","1.2.1","USB","27","URB_INTERRUPT in"
"361","0.295150","1.2.1","host","USB","40","URB_INTERRUPT in"
"362","0.295165","host","1.2.1","USB","27","URB_INTERRUPT in"
"363","0.296151","1.2.1","host","USB","40","URB_INTERRUPT in"
"364","0.296165","host","1.2.1","USB","27","URB_INTERRUPT in"
"365","0.297158","1.2.1","host","USB","40","URB_INTERRUPT in"
"366","0.297185","host","1.2.1","USB","27","URB_INTERRUPT in"
"367","0.298158","1.2.1","host","USB","40","URB_INTERRUPT in"
"368","0.298186","host","1.2.1","USB","27","URB_INTERRUPT in"
"369","0.299154","1.2.1","host","USB","40","URB_INTERRUPT in"
"370","0.299177","host","1.2.1","USB","27","URB_INTERRUPT in"
"371","0.300155","1.2.1","host","USB","40","URB_INTERRUPT in"
"372","0.300180","host","1.2.1","USB","27","URB_INTERRUPT in"
"373","0.301156","1.2.1","host","USB","40","URB_INTERRUPT in"
"374","0.301177","host","1.2.1","USB","27","URB_INTERRUPT in"
"375","0.302153","1.2.1","host","USB","40","URB_INTERRUPT in"
"376","0.302177","host","1.2.1","USB","27","URB_INTERRUPT in"
"377","0.303154","1.2.1","host","USB","40","URB_INTERRUPT in"
"378","0.303177","host","1.2.1","USB","27","URB_INTERRUPT in"
"379","0.304154","1.2.1","host","USB","40","URB_INTERRUPT in"
"380","0.304173","host","1.2.1","USB","27","URB_INTERRUPT in"
"381","0.305154","1.2.1","host","USB","40","URB_INTERRUPT in"
"382","0.305175","host","1.2.1","USB","27","URB_INTERRUPT in"
"383","0.306155","1.2.1","host","USB","40","URB_INTERRUPT in"
"384","0.306177","host","1.2.1","USB","27","URB_INTERRUPT in"
"385","0.307158","1.2.1","host","USB","40","URB_INTERRUPT in"
"386","0.307190","host","1.2.1","USB","27","URB_INTERRUPT in"
"387","0.308154","1.2.1","host","USB","40","URB_INTERRUPT in"
"388","0.308176","host","1.2.1","USB","27","URB_INTERRUPT in"
"389","0.309157","1.2.1","host","USB","40","URB_INTERRUPT in"
"390","0.309179","host","1.2.1","USB","27","URB_INTERRUPT in"
"391","0.310155","1.2.1","host","USB","40","URB_INTERRUPT in"
"392","0.310174","host","1.2.1","USB","27","URB_INTERRUPT in"
"393","0.311155","1.2.1","host","USB","40","URB_INTERRUPT in"
"394","0.311177","host","1.2.1","USB","27","URB_INTERRUPT in"
"395","0.312156","1.2.1","host","USB","40","URB_INTERRUPT in"
"396","0.312178","host","1.2.1","USB","27","URB_INTERRUPT in"
"397","0.313158","1.2.1","host","USB","40","URB_INTERRUPT in"
"398","0.313183","host","1.2.1","USB","27","URB_INTERRUPT in"
"399","0.314156","1.2.1","host","USB","40","URB_INTERRUPT in"
"400","0.314178","host","1.2.1","USB","27","URB_INTERRUPT in"
"401","0.316179","1.2.1","host","USB","40","URB_INTERRUPT in"
"402","0.316197","host","1.2.1","USB","27","URB_INTERRUPT in"
"403","0.317153","1.2.1","host","USB","40","URB_INTERRUPT in"
"404","0.317171","host","1.2.1","USB","27","URB_INTERRUPT in"
"405","0.318177","1.2.1","host","USB","40","URB_INTERRUPT in"
"406","0.318193","host","1.2.1","USB","27","URB_INTERRUPT in"
"407","0.319177","1.2.1","host","USB","40","URB_INTERRUPT in"
"408","0.319193","host","1.2.1","USB","27","URB_INTERRUPT in"
"409","0.320151","1.2.1","host","USB","40","URB_INTERRUPT in"
"410","0.320165","host","1.2.1","USB","27","URB_INTERRUPT in"
"411","0.321151","1.2.1","host","USB","40","URB_INTERRUPT in"
"412","0.321166","host","1.2.1","USB","27","URB_INTERRUPT in"
"413","0.322153","1.2.1","host","USB","40","URB_INTERRUPT in"
"414","0.322170","host","1.2.1","USB","27","URB_INTERRUPT in"
"415","0.323151","1.2.1","host","USB","40","URB_INTERRUPT in"
"416","0.323167","host","1.2.1","USB","27","URB_INTERRUPT in"
"417","0.325150","1.2.1","host","USB","40","URB_INTERRUPT in"
"418","0.325167","host","1.2.1","USB","27","URB_INTERRUPT in"
"419","0.326153","1.2.1","host","USB","40","URB_INTERRUPT in"
"420","0.326171","host","1.2.1","USB","27","URB_INTERRUPT in"
"421","0.327151","1.2.1","host","USB","40","URB_INTERRUPT in"
"422","0.327166","host","1.2.1","USB","27","URB_INTERRUPT in"
"423","0.328151","1.2.1","host","USB","40","URB_INTERRUPT in"
"424","0.328167","host","1.2.1","USB","27","URB_INTERRUPT in"
"425","0.329150","1.2.1","host","USB","40","URB_INTERRUPT in"
"426","0.329165","host","1.2.1","USB","27","URB_INTERRUPT in"
"427","0.330155","1.2.1","host","USB","40","URB_INTERRUPT in"
"428","0.330172","host","1.2.1","USB","27","URB_INTERRUPT in"
"429","0.331152","1.2.1","host","USB","40","URB_INTERRUPT in"
"430","0.331167","host","1.2.1","USB","27","URB_INTERRUPT in"
"431","0.332151","1.2.1","host","USB","40","URB_INTERRUPT in"
"432","0.332165","host","1.2.1","USB","27","URB_INTERRUPT in"
"433","0.333152","1.2.1","host","USB","40","URB_INTERRUPT in"
"434","0.333168","host","1.2.1","USB","27","URB_INTERRUPT in"
"435","0.334156","1.2.1","host","USB","40","URB_INTERRUPT in"
"436","0.334178","host","1.2.1","USB","27","URB_INTERRUPT in"
"437","0.335152","1.2.1","host","USB","40","URB_INTERRUPT in"
"438","0.335169","host","1.2.1","USB","27","URB_INTERRUPT in"
"439","0.336152","1.2.1","host","USB","40","URB_INTERRUPT in"
"440","0.336168","host","1.2.1","USB","27","URB_INTERRUPT in"
"441","0.337150","1.2.1","host","USB","40","URB_INTERRUPT in"
"442","0.337164","host","1.2.1","USB","27","URB_INTERRUPT in"
"443","0.338153","1.2.1","host","USB","40","URB_INTERRUPT in"
"444","0.338172","host","1.2.1","USB","27","URB_INTERRUPT in"
"445","0.340153","1.2.1","host","USB","40","URB_INTERRUPT in"
"446","0.340169","host","1.2.1","USB","27","URB_INTERRUPT in"
"447","0.341150","1.2.1","host","USB","40","URB_INTERRUPT in"
"448","0.341165","host","1.2.1","USB","27","URB_INTERRUPT in"
